date,iyr_close,eem_close,agg_close,emb_close,bsv_close,iau_close,ifeu_close,ijh_close,slv_close,ijr_close,ivv_close,ivv_close_shft
2018-09-21,81.91,43.23,105.46,107.24,77.99,11.49,39.68,204.08,13.44,88.44,295.36,294.47
2018-09-20,81.95,43.03,105.38,107.01,77.96,11.57,40.09,204.65,13.45,88.93,295.76,295.36
2018-09-19,81.14,42.56,105.24,106.41,77.96,11.53,39.61,203.14,13.4,88.17,293.28,295.76
2018-09-18,82.23,41.98,105.44,106.03,77.97,11.49,39.96,203.8,13.31,88.73,293.07,293.28
2018-09-14,82.23,41.96,105.67,106.69,78.02,11.46,39.68,204.87,13.23,89.47,292.91,293.07
2018-09-13,82.9,42.0,105.87,106.57,78.06,11.52,39.88,204.1,13.35,88.83,292.92,292.91
2018-09-12,82.41,41.44,105.8,105.54,78.04,11.56,39.69,203.65,13.39,88.82,291.24,292.92
2018-09-11,82.34,41.23,105.73,105.2,78.03,11.48,39.46,203.5,13.28,89.1,291.22,291.24
2018-09-10,82.51,41.14,105.91,105.4,78.09,11.46,39.42,203.2,13.31,89.07,290.25,291.22
2018-09-07,81.99,41.55,105.81,105.6,78.07,11.46,39.28,202.76,13.32,88.97,289.6,290.25
2018-09-06,83.0,41.76,106.19,105.88,78.22,11.51,39.54,203.19,13.31,89.17,290.31,289.6
2018-09-05,82.68,41.72,106.01,105.41,78.19,11.48,39.65,203.85,13.35,89.84,291.16,290.31
2018-09-04,82.3,42.33,106.06,105.34,78.15,11.45,39.54,203.97,13.31,89.93,291.95,291.16
2018-08-31,83.18,43.17,106.41,106.1,78.29,11.5,40.13,204.35,13.65,90.31,292.44,291.95
2018-08-30,82.87,42.95,106.42,106.43,78.26,11.51,40.38,203.92,13.7,89.79,292.29,292.44
2018-08-29,83.16,44.1,106.37,107.02,78.23,11.57,40.91,204.98,13.87,90.02,293.54,292.29
2018-08-28,83.24,43.83,106.39,107.34,78.24,11.52,40.52,204.28,13.84,89.83,291.89,293.54
2018-08-27,82.36,43.99,106.59,107.54,78.27,11.6,40.37,204.29,13.99,89.83,291.81,291.89
2018-08-24,82.51,43.37,106.73,107.4,78.3,11.56,40.05,203.33,13.92,89.77,289.52,291.81
2018-08-23,82.09,42.58,106.61,107.12,78.3,11.37,39.87,202.57,13.65,89.45,287.73,289.52
2018-08-22,82.27,43.28,106.67,107.65,78.33,11.47,39.98,203.27,13.88,89.72,288.22,287.73
2018-08-21,82.73,42.94,106.58,107.18,78.31,11.45,39.87,203.3,13.89,89.54,288.23,288.22
2018-08-20,83.29,42.4,106.67,106.88,78.32,11.41,39.42,201.68,13.88,88.49,287.74,288.23
2018-08-17,83.16,42.21,106.46,107.02,78.24,11.35,39.35,200.92,13.92,88.19,287.04,287.74
2018-08-16,82.42,41.77,106.4,106.59,78.21,11.26,38.88,199.89,13.77,87.64,286.1,287.04
2018-08-15,81.76,41.51,106.34,106.37,78.22,11.27,38.64,198.31,13.57,86.93,283.65,286.1
2018-08-14,81.15,42.74,106.19,106.59,78.17,11.46,38.87,200.14,14.17,87.95,285.93,283.65
2018-08-13,80.71,42.48,106.29,105.9,78.16,11.45,39.09,198.31,14.1,86.83,284.11,285.93
2018-08-10,80.75,43.19,106.23,106.37,78.15,11.61,39.28,199.35,14.41,87.22,285.07,284.11
2018-08-09,81.48,44.13,106.0,107.59,78.05,11.62,39.89,200.48,14.52,87.4,287.11,285.07
2018-08-08,81.38,44.26,105.85,107.97,78.05,11.63,40.05,200.71,14.5,87.3,287.37,287.11
2018-08-07,81.87,44.32,105.85,107.97,78.04,11.6,40.01,201.19,14.43,87.35,287.47,287.37
2018-08-06,82.16,43.87,106.04,108.13,78.11,11.58,39.99,200.72,14.4,87.18,286.65,287.47
2018-08-03,82.21,44.21,105.97,108.31,78.09,11.64,40.29,199.75,14.5,86.61,285.55,286.65
2018-08-02,81.25,43.87,105.74,108.07,78.06,11.59,40.01,199.17,14.43,86.89,284.23,285.55
2018-08-01,81.52,44.46,105.7,108.16,78.01,11.66,40.14,197.56,14.48,86.13,282.88,284.23
2018-07-31,81.25,44.86,106.06,109.06,78.13,11.74,40.36,198.1,14.61,86.16,283.28,282.88
2018-07-30,79.88,44.62,105.97,109.26,78.13,11.72,40.3,196.35,14.58,85.16,281.77,283.28
2018-07-27,79.77,44.69,106.08,109.57,78.1,11.73,40.1,197.21,14.57,85.55,283.36,281.77
2018-07-26,80.55,44.53,106.0,109.38,78.08,11.73,40.22,199.44,14.49,87.04,285.19,283.36
2018-07-25,80.33,45.03,106.06,109.29,78.08,11.82,40.47,198.53,14.68,86.12,286.18,285.19
2018-07-24,79.68,44.31,106.05,108.32,78.1,11.75,39.97,197.96,14.58,85.94,283.55,286.18
2018-07-23,80.07,43.67,105.9,108.42,78.08,11.75,39.85,199.46,14.47,86.75,282.14,283.55
2018-07-20,80.27,43.96,106.27,108.56,78.18,11.81,40.0,199.39,14.59,86.72,281.62,282.14
2018-07-19,80.95,43.34,106.48,108.66,78.19,11.73,39.85,200.63,14.42,87.04,281.92,281.62
2018-07-18,80.14,43.88,106.32,108.68,78.13,11.77,40.16,199.78,14.63,86.37,283.09,281.92
2018-07-17,80.52,43.93,106.35,108.78,78.13,11.77,40.14,199.1,14.67,86.02,282.47,283.09
2018-07-16,80.95,43.61,106.39,108.79,78.14,11.91,40.35,198.22,14.85,85.55,281.33,282.47
2018-07-13,81.32,43.85,106.51,109.07,78.17,11.9,40.09,199.24,14.88,85.85,281.43,281.33
2018-07-12,81.6,43.82,106.41,108.51,78.14,11.95,40.11,199.32,15.0,85.93,281.14,281.43
2018-07-11,81.36,43.23,106.28,108.3,78.1,11.9,39.91,198.72,14.86,85.73,278.74,281.14
2018-07-10,81.61,44.09,106.24,108.75,78.08,12.04,40.42,200.43,15.12,86.45,280.83,278.74
2018-07-09,81.36,44.19,106.32,108.56,78.13,12.06,40.34,200.49,15.17,86.86,279.81,280.83
2018-07-06,82.09,43.41,106.42,108.26,78.14,12.03,40.4,198.52,15.08,86.22,277.21,279.81
2018-07-05,81.75,42.82,106.31,107.34,78.09,12.05,39.93,197.08,15.1,85.57,275.07,277.21
2018-07-03,80.7,42.93,106.21,106.66,78.13,12.01,39.72,195.36,15.03,84.54,272.73,275.07
2018-07-02,80.1,42.9,105.99,106.32,78.06,11.9,39.44,194.86,14.91,84.33,273.82,272.73
2018-06-29,80.58,43.33,106.32,106.77,78.21,12.02,39.76,194.78,15.15,83.46,273.05,273.82
2018-06-28,80.38,42.69,106.23,106.76,78.26,11.97,39.33,194.56,15.07,83.73,272.82,273.05
2018-06-27,79.53,42.33,106.24,106.55,78.28,12.0,39.2,193.72,15.12,83.51,271.12,272.82
2018-06-26,79.96,43.16,106.05,106.76,78.19,12.07,39.73,195.86,15.33,84.7,273.47,271.12
2018-06-25,80.42,43.33,105.88,106.91,78.16,12.14,39.87,196.37,15.37,84.43,274.1,273.47
2018-06-22,80.7,43.92,105.94,107.4,78.13,12.18,39.95,199.26,15.5,85.76,277.89,274.1
2018-06-21,80.19,43.47,105.84,106.8,78.12,12.15,39.58,199.12,15.36,85.78,277.32,277.89
2018-06-20,79.78,44.09,105.81,106.41,78.08,12.18,39.77,200.51,15.34,86.64,279.25,277.32
2018-06-19,79.01,43.9,106.01,106.18,78.14,12.23,39.68,199.52,15.36,85.97,278.67,279.25
2018-06-18,79.02,44.68,105.9,106.21,78.08,12.26,40.79,199.82,15.51,86.05,279.7,278.67
2018-06-15,79.09,45.23,105.88,106.78,78.08,12.29,41.02,199.45,15.6,85.55,280.31,279.7
2018-06-14,79.01,45.59,105.84,106.56,78.05,12.5,41.08,199.9,16.17,85.52,280.71,280.31
2018-06-13,78.23,45.9,105.57,106.69,77.98,12.47,41.11,199.43,16.08,85.23,279.92,280.71
2018-06-12,79.84,46.21,105.67,107.03,78.06,12.43,41.29,200.64,15.87,85.74,280.89,279.92
2018-06-11,79.44,46.33,105.64,107.48,78.07,12.47,41.29,200.35,15.94,85.65,280.51,280.89
2018-06-08,79.42,46.33,105.75,107.69,78.12,12.46,41.3,200.32,15.78,85.41,280.04,280.51
2018-06-07,79.19,46.42,105.9,107.59,78.14,12.44,40.93,199.24,15.72,85.2,279.26,280.04
2018-06-06,79.14,47.14,105.67,107.89,78.04,12.44,41.49,199.15,15.7,85.52,279.44,279.26
2018-06-05,79.05,46.44,105.91,108.13,78.11,12.44,41.1,197.48,15.52,84.98,277.06,279.44
